palabra,NOUN
ABS,PROPN
ADN,PROPN
ADSL,PROPN
AM,ADV
ARN,DET
AVE,PROPN
Abraham,PROPN
Adviento,PROPN
Afganistán,PROPN
Agramante,ADJ
Airón,PROPN
Albania,PROPN
Alcalá,PROPN
Alcorán,VERB
Alcántara,PROPN
Alejandría,PROPN
Alemania,PROPN
Alicante,PROPN
Allen,PROPN
Altísimo,PROPN
Alzheimer,PROPN
América,PROPN
Américas,PROPN
Amón,PROPN
Anchuelo,PROPN
Andalucía,PROPN
Andorra,PROPN
Andrés,PROPN
Angola,PROPN
Anguilla,PROPN
Antillas,PROPN
Antonio,PROPN
Antártida,PROPN
Antón,PROPN
Aquiles,ADJ
Arabia,PROPN
Aragón,PROPN
Argelia,PROPN
Argentina,PROPN
Armenia,PROPN
Arquímedes,PROPN
Aruba,PROPN
Asia,PROPN
Australia,PROPN
Austria,PROPN
Azerbaiyán,PROPN
Babia,PROPN
Badajoz,PROPN
Bahamas,PROPN
Bahrein,PROPN
Bamba,PROPN
Bangladesh,PROPN
Barbados,ADJ
Barcelona,PROPN
Batavia,PROPN
Batuecas,PROPN
Bayona,PROPN
Bañón,PROPN
Belice,PROPN
Benin,PROPN
Berkeley,PROPN
Bermuda,PROPN
Bhutan,PROPN
Bielorrusia,PROPN
Bierzo,PROPN
Bissau,PROPN
Blas,NOUN
Bohemia,PROPN
Bolivia,PROPN
Bona,PROPN
Bosnia,PROPN
Botsuana,PROPN
Bouvet,PROPN
Brasil,PROPN
Bright,PROPN
Briján,PROPN
Brunei,PROPN
Bruselas,PROPN
BuenosAires,PROPN
Bulgaria,PROPN
Burgos,PROPN
Burkina,PROPN
Burundi,PROPN
Bárbara,PROPN
Bélgica,PROPN
CD,PROPN
CDROM,PROPN
CDs,PROPN
Cabo,NOUN
Cachano,PROPN
Caicos,PROPN
Calabar,PROPN
Calatrava,PROPN
Calaínos,PROPN
Calañas,PROPN
Caledonia,PROPN
Calleja,PROPN
Camboya,PROPN
